ITEM_LRDV_NM,item_count
가공식품,3800
간식,556
건강/기호식품,4309
과자,21271
냉동,3127
냉장,4223
디저트,2911
맥주,1347
면,1534
미반,6396
빵,5191
신선,6758
아이스크림,3461
안주,1928
양주와인,3981
유음료,3810
음료,4677
전통주,1669
조리빵,2595
조미료/건물,3928
즉석 식품,1707
즉석음료,3169
커피/차,9
