ITEM_SMDV_NM,mapped_m_count
기타,21
선물세트,6
행사상품,4
정온TEST,3
컵,2
숙면/건면,2
과일,2
일반스낵,2
시리얼,2
알뜰절약상품,2
냉동간식류,2
원두커피,2
어육스낵,2
믹스커피,2
병맥주,2
캔맥주(소),2
캔맥주(중),2
조리면,2
바,2
비빔/볶음면,2
