ITEM_LRDV_NM,item_count
과자,21271
신선,6758
미반,6396
빵,5191
음료,4677
건강/기호식품,4309
냉장,4223
양주와인,3981
조미료/건물,3928
유음료,3810
가공식품,3800
아이스크림,3461
즉석음료,3169
냉동,3127
디저트,2911
조리빵,2595
안주,1928
즉석 식품,1707
전통주,1669
면,1534
맥주,1347
간식,556
커피/차,9
